"uni_lemma","category","lexical_category","concreteness","language1","definition1","aoa1","surprisal_1gm1","lstm_surp_resid1","language2","definition2","aoa2","surprisal_1gm2","lstm_surp_resid2"
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473
"airplane","vehicles","nouns",4.96,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802
"airplane","vehicles","nouns",4.96,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161
"airplane","vehicles","nouns",4.96,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386
"airplane","vehicles","nouns",4.96,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"airplane","vehicles","nouns",4.96,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"Mandarin (Taiwanese)","動物",30.0743424194742,-0.478916011612902,-0.28375093484638
"animal","animals","nouns",4.61,"English (British)","animal",25.6431422172063,0.667205011908958,-0.298082205928511,"French (Quebecois)","animal",25.7659474085808,0.247128233226929,-0.522545881538411
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"Mandarin (Taiwanese)","動物",30.0743424194742,-0.478916011612902,-0.28375093484638
"animal","animals","nouns",4.61,"Spanish (Mexican)","animal",24.6503635579657,0.371363298736716,0.0437772027152895,"French (Quebecois)","animal",25.7659474085808,0.247128233226929,-0.522545881538411
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"Mandarin (Taiwanese)","動物",30.0743424194742,-0.478916011612902,-0.28375093484638
"animal","animals","nouns",4.61,"Mandarin (Beijing)","动物",23.822544615054,-0.477805769175635,-0.283031528464897,"French (Quebecois)","animal",25.7659474085808,0.247128233226929,-0.522545881538411
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"Mandarin (Taiwanese)","動物",30.0743424194742,-0.478916011612902,-0.28375093484638
"animal","animals","nouns",4.61,"French (French)","animal",29.6058576881703,0.407668424783079,-0.541298870992918,"French (Quebecois)","animal",25.7659474085808,0.247128233226929,-0.522545881538411
"animal","animals","nouns",4.61,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842
"animal","animals","nouns",4.61,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
"animal","animals","nouns",4.61,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944,"Mandarin (Taiwanese)","動物",30.0743424194742,-0.478916011612902,-0.28375093484638
"animal","animals","nouns",4.61,"English (Australian)","animal",26.182259763236,0.692624838384647,-0.293589018203944,"French (Quebecois)","animal",25.7659474085808,0.247128233226929,-0.522545881538411
"animal","animals","nouns",4.61,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842,"German","Tier",25.1924620247101,-0.297571359548596,-0.153122925714315
"animal","animals","nouns",4.61,"Spanish (European)","animal",28.4991065012528,0.479565605607874,-0.00282363536829842,"English (American)","animal",24.5318908262437,0.723185932543152,-0.0333426162051868
